pump_id,timings,events,vibration,temprature,flow
pump1,01-07-2017 00:00,0,3.443,69.6,139.806
pump1,01-07-2017 00:10,1,0.501,45.27,140.028
pump1,01-07-2017 00:20,0,2.031,52.9,137.698
pump1,01-07-2017 00:30,0,2.267,60.12,139.054
pump1,01-07-2017 00:40,1,2.267,60.12,139.054
pump1,01-07-2017 00:50,0,2.267,60.12,139.054
pump2,01-07-2017 00:00,0,3.443,69.6,139.806
pump2,01-07-2017 00:10,0,0.501,45.27,140.028
pump2,01-07-2017 00:20,0,2.031,52.9,137.698
pump2,01-07-2017 00:30,0,2.267,60.12,139.054
pump2,01-07-2017 00:40,1,2.267,60.12,139.054
pump2,01-07-2017 00:50,0,2.267,60.12,139.054

